Area ,Price,Bedrooms,Bathrooms
3370,2380000,2,3
1910,1400000,4,4
2910,1200000,3,2
3310,838000,1,3
1880,805000,1,2
1700,790000,3,3
3660,785000,1,4
1550,750000,3,1
1440,750000,4,1
1300,698000,3,4
2820,675000,1,3
1640,650000,2,4
1520,640000,5,4
2710,630000,1,2
1470,626000,1,3
2820,625000,1,4
1560,625000,1,1
1360,615000,2,4
2730,612500,4,1
3240,604000,2,2
1970,588500,5,1
3310,555000,5,3
1140,550000,2,4
2910,550000,2,2
2190,499950,5,2
1130,495000,3,2
2190,491500,4,2
880,490000,3,1
2710,482000,3,3
1460,470000,3,4
1710,463000,3,3
2680,459990,2,4
1570,452500,5,2
1270,445700,2,4
1080,440000,4,3
800,440000,4,2
1770,439950,5,3
1970,437500,3,1
1600,436110,1,3
1450,435000,2,2
1070,430000,4,4
1000,420000,1,2
1570,419000,5,3
1930,407500,1,1
1650,403000,4,4
2300,400000,5,4
1040,385000,5,4
1560,382500,2,3
3110,367500,5,2
1090,365000,5,3
1930,342000,4,2
1350,335000,5,3
1580,335000,4,1
1160,315000,3,4
1340,313000,2,4
850,308500,3,1
2540,300000,4,3
1280,295000,5,2
1090,287200,5,2
2200,285000,1,2
1360,285000,2,1
1800,284000,3,1
1180,275000,1,2
1480,260000,4,3
1370,257950,2,4
1200,242500,2,1
1210,235000,1,4
2920,625000,1,4
900,553000,5,1
1130,379880,1,4
1010,310000,5,2
1990,783500,1,4
2680,775000,4,3
1140,628000,5,3
1570,365000,3,2
2010,331950,1,2
9410,2280000,1,4
2220,1430000,4,2
2850,1400000,1,3
4340,1090000,2,1
1690,1030000,5,2
1330,900000,5,4
3410,890000,3,2
3200,890000,3,4
3690,865000,1,1
1300,855000,1,2
1610,831000,5,4
3400,830000,1,4
2780,823000,2,2
3180,800866,5,1
3240,800000,2,3
1330,787000,4,2
2730,780000,2,4
1810,770000,2,4
1620,755000,2,2
2010,740000,2,2
3180,736500,5,4
2450,712198,4,3
2490,705380,2,4
1680,670000,3,3
1660,665000,1,1
1050,657100,5,4
1400,650000,3,3
2440,631625,5,2
1210,627000,4,3
1480,620000,4,4
1080,618500,4,4
1960,615000,5,3
1670,600000,3,1
1040,600000,3,3
1520,585000,4,2
1320,580000,3,2
1330,570000,5,2
1900,560000,3,4
1940,555000,1,1
1140,549000,1,4
2910,549000,1,3
1370,541125,3,3
1110,531000,5,4
1810,525888,5,3
780,524000,3,2
1790,509900,3,2
1160,501000,2,2
2910,499000,3,4
1600,497300,2,4
1470,487585,2,4
1340,485000,4,4
3040,478000,2,1
1480,449250,3,3
1540,435000,4,3
1590,419190,4,2
1410,418000,1,4
1408,416286,5,1
1540,415000,2,3
1360,410000,4,2
1410,406100,2,1
1140,405000,2,1
2110,400000,5,4
840,400000,2,3
2230,398750,5,2
1750,384900,4,3
1140,379950,5,1
1571,366750,5,1
1120,340000,1,2
1160,340000,3,3
1140,329950,4,2
2370,328000,1,1
2310,309950,3,3
1880,309950,5,4
1050,300000,3,1
1450,287000,5,1
1550,249950,4,2
1000,245000,2,1
1200,232000,5,4
1240,220000,5,2
1120,219900,1,4
1340,210000,5,2
1430,210000,4,3
810,206000,5,2
1490,184000,1,4
4510,1870000,2,4
3930,1800000,4,4
2400,1580000,1,3
2280,1230000,5,3
1970,1140000,1,1
1610,1050000,3,2
2690,979000,4,4
2080,910000,5,1
3740,860000,2,4
3040,776000,2,1
3880,762300,4,2
2290,736000,3,2
3200,725126,4,4
3030,685000,4,2
930,675000,1,2
3380,655500,4,3
1160,650000,3,1
2490,650000,4,1
1030,612500,1,2
1580,610000,2,2
2150,609000,4,4
2110,606000,4,4
1400,599000,5,2
3569,580000,2,3
1170,575000,3,3
2400,563000,5,1
3040,562000,4,3
2000,561000,5,4
1850,535000,5,3
1400,533000,2,2
1690,530000,3,1
1770,525000,4,3
2460,520000,5,4
1430,518000,3,2
1790,515000,2,3
2000,513000,5,3
1480,500000,4,3
740,499000,4,2
2020,488000,2,1
1420,485000,5,4
1160,484000,5,2
2740,483500,3,2
3470,475000,3,2
1030,469000,5,4
1180,465000,5,1
1020,460000,1,3
1340,455000,2,4
1100,450000,3,2
1520,425000,5,2
1710,407000,3,4
960,404000,1,1
1200,397000,2,4
1260,390000,1,1
1310,390000,5,4
1230,387000,5,2
1280,385000,2,2
1000,379900,2,4
1270,369950,3,3
1410,367500,2,3
1310,365000,3,3
1140,362000,5,3
2680,360000,5,4
860,353000,1,1
2331,345000,2,1
1110,345000,2,3
720,329350,1,2
980,325000,1,2
860,313950,3,1
1300,312000,5,1
1560,295000,1,4
2000,284000,3,4
1630,280000,1,2
1100,279900,3,3
1650,272000,1,1
1050,250000,3,1
1010,234000,2,4
900,219000,3,3
1320,218000,1,3
1060,197000,4,3
800,191000,2,4
1010,175000,1,1
1420,136500,4,4
780,78000,1,4
4760,3200000,5,4
3400,1530000,4,2
3560,1500000,4,1
2440,1340000,3,3
4460,1150000,5,4
1890,1110000,4,4
3900,1040000,5,2
1470,940000,4,3
3170,900000,5,3
1210,794154,2,4
1600,775000,3,2
1780,758000,4,4
1360,750000,3,2
1960,749950,3,3
1520,705000,4,2
980,690000,5,4
1680,675000,3,4
3680,675000,4,1
3240,651000,1,2
2130,640000,4,3
2680,630000,3,4
1720,630000,5,3
2030,618080,5,2
1680,610950,4,2
1860,600000,5,2
2450,599999,5,2
